file_path loc_x loc loc_z quatern_w quatern_x quatern_y quatern_z
bg0_matls0_0001.png 15.10810 -0.42170 0.45164 0.54646 0.51630 0.48803 0.44345
bg0_matls0_0002.png 8.94011 -6.49464 -0.11838 0.58409 0.63908 0.31222 0.27350
bg0_matls0_0003.png 2.77213 -12.56758 -0.68840 0.62470 0.76186 0.13641 0.10355
bg0_matls0_0004.png 3.43679 -12.55743 -0.38030 0.62888 0.75592 0.14718 0.11353
bg0_matls0_0005.png 4.92619 -12.48635 0.19190 0.63043 0.74229 0.17261 0.14054
bg0_matls0_0006.png 6.48345 -12.29345 0.50000 0.63065 0.72725 0.20233 0.18015
bg0_matls0_0007.png 7.54134 -11.67293 0.50000 0.62228 0.71543 0.22853 0.22712
bg0_matls0_0008.png 8.29131 -10.60340 0.50000 0.60458 0.70478 0.25354 0.27311
bg0_matls0_0009.png 9.11442 -9.45050 0.50000 0.58869 0.69160 0.28223 0.30898
bg0_matls0_0010.png 10.27647 -8.50259 0.48746 0.58252 0.67333 0.31737 0.32882
bg0_matls0_0011.png 11.58200 -7.73900 0.46418 0.58108 0.65199 0.35341 0.33966
bg0_matls0_0012.png 12.72022 -7.06180 0.45164 0.57615 0.63074 0.38269 0.35180
bg0_matls0_0013.png 13.46339 -6.37246 0.45164 0.56256 0.61242 0.40033 0.37261
bg0_matls0_0014.png 13.91569 -5.57008 0.45164 0.54716 0.59852 0.41255 0.39786
bg0_matls0_0015.png 14.26434 -4.55314 0.45164 0.53983 0.59024 0.42829 0.42043
bg0_matls0_0016.png 14.64274 -3.26541 0.45164 0.54155 0.58524 0.45289 0.43478
bg0_matls0_0017.png 14.96917 -1.83161 0.45164 0.54474 0.56720 0.47710 0.44167
bg0_matls0_0018.png 15.10809 -0.42170 0.45164 0.54646 0.51630 0.48803 0.44345
bg0_matls0_0019.png 14.98231 0.87771 0.45164 0.28453 0.23816 0.20599 0.21369
bg0_matls0_0020.png 14.48675 2.31350 0.45164 -0.20192 -0.20091 -0.31781 -0.22355
bg0_matls0_0021.png 13.44410 4.21593 0.45164 -0.46385 -0.42975 -0.59986 -0.49023
bg0_matls0_0022.png 11.83293 6.68847 0.45164 -0.46334 -0.42871 -0.59919 -0.52919
bg0_matls0_0023.png 10.25530 8.92756 0.45164 -0.45979 -0.42143 -0.59448 -0.54355
bg0_matls0_0024.png 9.46920 9.90289 0.45164 -0.45015 -0.40166 -0.58169 -0.54560
bg0_matls0_0025.png 9.40290 9.20850 0.45164 -0.24316 -0.19305 -0.25045 -0.25596
bg0_matls0_0026.png 9.39780 7.91892 0.45164 0.12690 0.16494 0.34567 0.28193
bg0_matls0_0027.png 9.33150 7.22453 0.45164 0.32475 0.35482 0.66479 0.57157
bg0_matls0_0028.png 8.69208 9.66506 0.45164 0.17361 0.23866 0.30784 0.26190
bg0_matls0_0029.png 7.13601 14.26080 0.45164 -0.10709 0.02292 -0.35950 -0.31334
bg0_matls0_0030.png 4.79352 16.92301 0.45164 -0.25823 -0.09324 -0.73197 -0.62357
bg0_matls0_0031.png 1.84377 17.15701 -0.05434 -0.15698 -0.03043 -0.74835 -0.62417
bg0_matls0_0032.png -1.33828 17.24322 -0.99402 0.03106 0.08621 -0.75438 -0.62439
bg0_matls0_0033.png -4.32872 17.25554 -1.50000 0.13232 0.14901 -0.75524 -0.62442
bg0_matls0_0034.png -6.78406 16.78844 -0.99402 0.04100 0.06509 -0.39015 -0.31387
bg0_matls0_0035.png -8.68237 15.00515 -0.05434 -0.16243 -0.12438 0.28788 0.26287
bg0_matls0_0036.png -10.08215 11.33271 0.45164 -0.37225 -0.32595 0.65298 0.57342
bg0_matls0_0037.png -11.03769 5.74526 0.20492 -0.50477 -0.46424 0.60085 0.52543
bg0_matls0_0038.png -11.58654 0.40556 -0.25328 -0.56467 -0.53620 0.50405 0.43632
bg0_matls0_0039.png -11.76208 -1.97654 -0.50000 -0.57869 -0.55685 0.45192 0.38833
bg0_matls0_0040.png -10.89220 -0.54498 -0.25328 -0.53401 -0.53253 0.46372 0.44049
bg0_matls0_0041.png -9.27671 2.63633 0.20492 -0.45104 -0.48737 0.49119 0.53735
bg0_matls0_0042.png -8.40683 5.89731 0.45164 -0.40637 -0.46305 0.52242 0.58951
bg0_matls0_0043.png -8.90528 7.92131 0.45164 -0.40748 -0.46474 0.54733 0.57464
bg0_matls0_0044.png -10.13911 8.80538 0.45164 -0.41455 -0.46828 0.56305 0.54359
bg0_matls0_0045.png -11.71602 8.99997 0.45164 -0.43323 -0.47136 0.56852 0.51664
bg0_matls0_0046.png -13.25465 7.01073 0.45164 -0.46530 -0.47427 0.55011 0.50792
bg0_matls0_0047.png -14.41740 2.65228 0.45164 -0.49727 -0.48773 0.50813 0.50725
bg0_matls0_0048.png -14.87757 -1.66151 0.45164 -0.51178 -0.52506 0.46246 0.49852
bg0_matls0_0049.png -13.58529 -4.11282 0.07529 -0.51126 -0.59668 0.42851 0.44513
bg0_matls0_0050.png -11.03433 -5.26796 -0.62365 -0.51029 -0.67343 0.40375 0.36037
bg0_matls0_0051.png -9.21353 -6.28929 -1.00000 -0.50977 -0.70925 0.38119 0.30298
bg0_matls0_0052.png -8.79904 -8.00033 -0.62365 -0.53157 -0.69642 0.35510 0.28805
bg0_matls0_0053.png -8.73689 -9.86930 0.07529 -0.58107 -0.67261 0.32474 0.28383
bg0_matls0_0054.png -8.42077 -11.02563 0.45164 -0.63439 -0.65979 0.29064 0.27886
bg0_matls0_0055.png -7.41109 -11.33651 0.45164 -0.67211 -0.66541 0.25204 0.26258
bg0_matls0_0056.png -5.93515 -11.42080 0.45164 -0.69265 -0.67585 0.20315 0.22790
bg0_matls0_0057.png -4.38694 -11.53543 0.45164 -0.69886 -0.68148 0.13687 0.16867
bg0_matls0_0058.png -3.11288 -11.85461 0.12714 -0.35013 -0.30755 0.05289 0.08588
bg0_matls0_0059.png -2.26896 -12.22166 -0.47550 0.29750 0.38688 -0.02206 0.00918
bg0_matls0_0060.png -1.96356 -12.39720 -0.80000 0.64622 0.76081 -0.05449 -0.02457
bg0_matls0_0061.png -0.53665 -15.00000 2.38646 0.76048 0.64912 -0.01161 -0.01360
bg0_matls0_0062.png -1.45888 -14.94087 2.38646 0.75969 0.64846 -0.03158 -0.03700
bg0_matls0_0063.png -4.03480 -14.56397 2.38646 0.75333 0.64370 -0.08752 -0.10242
bg0_matls0_0064.png -7.81423 -13.14972 2.38646 0.73252 0.62710 -0.17227 -0.20123
bg0_matls0_0065.png -11.93013 -9.91757 2.38646 0.68711 0.58950 -0.27654 -0.32233
bg0_matls0_0066.png -15.08107 -4.58013 2.38646 0.60906 0.52378 -0.38833 -0.45156
bg0_matls0_0067.png -15.76170 2.33593 2.38646 0.49493 0.42632 -0.49416 -0.57368
bg0_matls0_0068.png -13.04025 9.29371 2.38646 0.34694 0.29907 -0.58039 -0.67330
bg0_matls0_0069.png -7.08868 14.27454 2.38646 0.17307 0.14908 -0.63540 -0.73762
bg0_matls0_0070.png 0.56247 15.72928 2.38646 0.01355 0.01165 0.65185 0.75814
bg0_matls0_0071.png 7.78054 13.35726 2.38646 0.19789 0.16968 0.62843 0.73289
bg0_matls0_0072.png 12.79695 8.10602 2.38646 0.36648 0.31327 0.56926 0.66596
bg0_matls0_0073.png 14.83608 1.65123 2.38646 0.50739 0.43272 0.48355 0.56700
bg0_matls0_0074.png 14.10264 -4.47734 2.38646 0.61441 0.52326 0.38287 0.44957
